Year,Country,Bronze,Gold,Silver,GrandTotal
1896, AUS,0,2,0,2
1896, AUT,2,2,1,5
1896, DEN,3,1,2,6
1896, FRA,2,5,4,11
1896, GBR,2,2,3,7
1896, GER,2,26,5,33
1896, GRE,22,10,20,52
1896, HUN,3,2,1,6
1896, SUI,0,1,2,3
1896, USA,2,11,7,20
1896, ZZX,2,2,2,6
1900, AUS,3,2,0,5
1900, AUT,3,0,3,6
1900, BEL,15,5,19,39
1900, BOH,1,0,1,2
1900, CAN,1,1,0,2
1900, CUB,0,1,1,2
1900, DEN,2,1,3,6
1900, ESP,0,2,0,2
1900, FRA,53,46,86,185
1900, GBR,10,48,20,78
1900,GER,10,11,19,40
1900, HUN,2,1,2,5
1900, IND,0,0,2,2
1900, ITA,0,2,2,4
1900, NED,15,0,5,20
1900, NOR,3,0,6,9
1900, SUI,1,13,1,15
1900,SWE,1,0,0,1
1900,USA,14,27,14,55
1900,ZZX,8,18,8,34
1904,AUT,1,0,0,1
1904,CAN,0,26,9,35
1904,CUB,3,4,2,9
1904,GBR,0,1,1,2
1904,GER,5,4,4,13
1904,GRE,1,1,0,2
1904,HUN,1,2,1,4
1904,SUI,1,1,0,2
1904,USA,111,146,137,394
1904,ZZX,0,3,5,8
1908,ANZ,2,15,2,19
1908,AUT,1,0,,1
1908,BEL,6,1,24,31
1908,BOH,5,0,,5
1908,CAN,26,17,8,51
1908,DEN,3,0,12,15
1908,FIN,27,1,1,29
1908,FRA,21,9,5,35
1908,GBR,68,144,135,347
1908,GER,7,4,11,22
1908,GRE,0,0,3,3
1908,HUN,5,6,7,18
1908,ITA,0,2,5,7
1908,NED,11,0,0,11
1908,NOR,3,7,34,44
1908,RSA,0,1,1,2
1908,RU1,0,1,2,3
1908,SWE,11,69,18,98
1908,USA,15,34,14,63
1912,ANZ,3,5,2,10
1912,AUT,5,0,9,14
1912,BEL,9,9,1,19
1912,CAN,3,3,2,8
1912,DEN,34,5,45,84
1912,FIN,22,9,36,67
1912,FRA,5,10,10,25
1912,GBR,58,44,58,160
1912,GER,23,10,19,52
1912,GRE,1,1,0,2
1912,HUN,3,10,17,30
1912,ITA,2,18,1,21
1912,NED,22,0,0,22
1912,NOR,29,41,6,76
1912,RSA,0,5,2,7
1912,RU1,9,0,5,14
1912,SWE,25,86,62,173
1912,USA,31,45,25,101
1920,AUS,1,0,5,6
1920,BEL,65,57,66,188
1920,BRA,5,1,1,7
1920,CAN,3,10,3,16
1920,DEN,1,30,44,75
1920,ESP,0,0,24,24
1920,EST,0,1,2,3
1920,FIN,17,18,14,49
1920,FRA,55,13,73,141
1920,GBR,17,55,35,107
1920,GRE,0,0,5,5
1920,ITA,7,68,9,84
1920,JPN,0,0,3,3
1920,LUX,0,0,1,1
1920,NED,24,14,10,48
1920,NOR,27,58,56,141
1920,NZL,1,0,0,1
1920,RSA,6,3,12,21
1920,SUI,21,6,2,29
1920,SWE,57,53,36,146
1920,USA,38,110,45,193
1924,ARG,2,6,3,11
1924,AUS,2,3,5,10
1924,AUT,1,0,3,4
1924,BEL,6,3,29,38
1924,CAN,1,0,19,20
1924,DEN,2,2,8,12
1924,EST,4,1,1,6
1924,FIN,15,24,13,52
1924,FRA,20,39,63,122
1924,GBR,20,17,29,66
1924,HAI,7,0,,7
1924,HUN,8,2,10,20
1924,ITA,21,25,5,51
1924,JPN,1,0,0,1
1924,NED,17,8,1,26
1924,NOR,3,16,7,26
1924,NZL,1,0,0,1
1924,POL,1,0,4,5
1924,POR,3,0,0,3
1924,ROU,23,0,0,23
1924,RSA,1,1,1,3
1924,SUI,21,13,31,65
1924,SWE,49,6,25,80
1924,USA,51,110,37,198
1924,YUG,0,2,0,2
1928,ARG,5,3,24,32
1928,AUS,1,1,2,4
1928,AUT,2,2,0,4
1928,BEL,4,0,1,5
1928,CAN,21,7,5,33
1928,CHI,0,0,1,1
1928,DEN,3,5,5,13
1928,EGY,1,2,1,4
1928,ESP,0,3,0,3
1928,EST,6,2,1,9
1928,FIN,9,8,8,25
1928,FRA,13,7,16,36
1928,GBR,24,6,25,55
1928,GER,39,20,13,72
1928,HAI,0,0,1,1
1928,HUN,0,9,11,20
1928,IND,0,15,0,15
1928,ITA,31,18,21,70
1928,JPN,1,2,5,8
1928,NED,6,20,39,65
1928,NOR,1,4,4,9
1928,NZL,0,1,0,1
1928,PHI,1,0,0,1
1928,POL,14,1,3,18
1928,RSA,5,1,0,6
1928,SUI,5,16,8,29
1928,SWE,21,7,8,36
1928,USA,17,43,24,84
1928,YUG,10,1,1,12
1932,ARG,0,3,1,4
1932,AUS,1,3,1,5
1932,AUT,3,1,1,5
1932,CAN,23,2,13,38
1932,DEN,4,0,5,9
1932,ESP,1,0,0,1
1932,FIN,16,5,8,29
1932,FRA,6,23,8,37
1932,GBR,14,8,12,34
1932,GER,5,7,26,38
1932,HUN,8,20,4,32
1932,IND,0,11,0,11
1932,ITA,18,21,38,77
1932,JPN,4,10,17,31
1932,MEX,0,0,2,2
1932,NED,0,2,10,12
1932,NZL,0,0,2,2
1932,PHI,3,0,0,3
1932,POL,14,2,3,19
1932,RSA,3,2,0,5
1932,SUI,0,0,1,1
1932,SWE,12,12,7,31
1932,USA,59,78,44,181
1936,ARG,4,5,2,11
1936,AUS,1,0,0,1
1936,AUT,4,5,41,50
1936,BEL,12,0,,12
1936,CAN,9,1,12,22
1936,DEN,3,0,3,6
1936,EGY,2,2,1,5
1936,EST,3,2,2,7
1936,FIN,13,7,6,26
1936,FRA,18,12,13,43
1936,GBR,8,12,16,36
1936,GER,59,88,63,210
1936,HUN,16,25,1,42
1936,IND,0,19,0,19
1936,ITA,5,36,30,71
1936,JPN,8,9,4,21
1936,MEX,16,0,,16
1936,NED,21,9,7,37
1936,NOR,15,1,12,28
1936,NZL,0,1,0,1
1936,PHI,1,0,,1
1936,POL,4,0,5,9
1936,POR,3,0,0,3
1936,ROU,0,0,2,2
1936,RSA,0,0,1,1
1936,SUI,24,1,22,47
1936,SWE,16,7,11,34
1936,USA,15,51,26,92
1936,YUG,0,0,1,1
1948,AUS,5,2,9,16
1948,AUT,3,1,0,4
1948,BEL,8,4,2,14
1948,BRA,12,0,0,12
1948,CAN,5,0,1,6
1948,CUB,0,0,2,2
1948,DEN,27,7,15,49
1948,EGY,1,2,2,5
